Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,HPTS,APTS,HPL,APL,HRATEFORM,ARATEFORM,FOH,FOD,FOA
F2,29/07/11,Amiens,Troyes,1,1,D,1,1,D,2.3,3,3.4,2.3,2.9,3.1,2.1,3,3.4,2.3,2.8,3.1,2.2,3,3,2.1,2.9,3.5,2.25,3,3.2,2.2,3.2,3.4,2.25,3,3.25,2.2,2.88,3.2,33,2.05,1.95,3.25,3.12,4.5,3.88,21,2.63,2.44,1.55,1.49,15,-0.5,2,1.94,1.97,1.89,0,0,0,0,1000,1000,2.39,3.71,3.20
F2,29/07/11,Angers,Le Havre,1,2,A,0,2,A,2.1,3,4,2.15,2.9,3.4,2.1,3,3.4,2.2,2.8,3.3,2.1,3,3.2,2.1,2.9,3.5,2.15,2.9,3.6,2.25,2.88,3.6,2.1,2.88,3.8,2.2,3,3.1,32,2.25,2.1,3.1,2.98,4.1,3.58,20,2.63,2.42,1.54,1.5,14,-0.5,2.13,2.07,1.83,1.76,0,0,0,0,1000,1000,2.39,3.71,3.20
F2,29/07/11,Arles,Le Mans,1,0,H,0,0,D,2.75,3,2.7,2.5,2.9,2.8,2.6,3,2.6,2.6,2.8,2.8,2.4,2.88,2.75,2.38,2.9,2.9,2.62,2.9,2.75,2.4,3.2,3,2.6,3,2.6,2.5,2.88,2.75,32,2.8,2.66,3.2,2.93,3,2.68,20,2.52,2.38,1.57,1.52,15,0,2,1.92,1.94,1.9,0,0,0,0,1000,1000,2.39,3.71,3.20
F2,29/07/11,Bastia,Istres,3,1,H,1,0,H,1.83,3.3,4.5,1.83,3.2,4.1,1.9,3.25,3.75,1.9,3,4,1.83,3.2,3.75,1.91,3.1,3.75,1.85,3.2,4.2,2,3.3,3.75,1.83,3.12,4.2,1.91,3.1,3.75,33,1.8,1.71,3.6,3.34,5.5,4.81,24,2.33,2.23,1.65,1.59,14,-0.75,1.96,1.91,2,1.94,0,0,0,0,1000,1000,2.39,3.71,3.20
F2,29/07/11,Guingamp,Chateauroux,1,1,D,0,0,D,1.85,3.3,4.5,1.9,3.05,4,1.9,3.1,4,1.9,3,4,1.91,3,3.75,1.85,3.1,4,1.85,3.2,4.2,2,3.25,3.75,1.83,3.12,4.2,1.91,3.2,4,32,2,1.73,3.55,3.34,5.3,4.74,23,2.38,2.24,1.67,1.59,14,-0.75,1.98,1.93,1.96,1.92,0,0,0,0,1000,1000,2.39,3.71,3.20
F2,29/07/11,Laval,Clermont,1,2,A,0,1,A,2.38,2.88,3.4,2.35,2.65,3.35,2.25,3,3.1,2.3,2.8,3.1,2.2,3,3,2.25,2.9,3.1,2.3,3,3.1,2.25,2.88,3.5,2.25,2.88,3.1,2.3,2.88,3,33,2.35,2.19,3.2,2.96,3.75,3.37,21,2.62,2.41,1.55,1.5,15,-0.25,1.9,1.86,2.06,1.99,0,0,0,0,1000,1000,2.39,3.71,3.20
F2,29/07/11,Sedan,Nantes,2,0,H,1,0,H,1.67,3.4,6,1.8,3.1,4.45,1.85,3.2,4,1.9,3,4,1.83,3.2,3.75,1.83,3.15,4,1.75,3.3,4.6,1.91,3.3,4,1.75,3.3,5,1.8,3.3,4.33,33,1.91,1.71,3.5,3.32,6,4.94,24,2.33,2.21,1.67,1.6,14,-0.75,1.93,1.89,2.02,1.96,0,0,0,0,1000,1000,2.39,3.71,3.20
F2,29/07/11,Tours,Metz,1,0,H,0,0,D,2.5,2.88,3.2,2.25,3,3.1,2.2,3,3.2,2.2,2.8,3.3,2.2,3,3,2.25,3.1,2.9,2.3,2.88,3.25,2.1,3.25,3.4,2.4,2.88,2.88,2.25,2.8,3.2,33,2.4,2.29,3.25,2.97,3.4,3.14,23,2.62,2.29,1.67,1.57,15,-0.25,2.02,1.98,1.92,1.87,0,0,0,0,1000,1000,2.39,3.71,3.20
F2,30/07/11,Lens,Reims,0,2,A,0,2,A,1.8,3.4,4.75,1.8,3.1,4.45,1.75,3.25,4.5,1.75,3.1,4.5,1.73,3.2,4.5,1.8,3.1,4.33,1.73,3.2,4.8,1.75,3.4,5,1.75,3.2,4.6,1.75,3.2,4.5,33,1.82,1.76,3.5,3.23,5.25,4.64,21,2.2,2.1,1.72,1.66,15,-0.5,1.84,1.78,2.13,2.06,0,0,0,0,1000,1000,2.39,3.71,3.20
F2,01/08/11,Monaco,Boulogne,0,0,D,0,0,D,1.67,3.5,5.5,1.7,3.25,4.75,1.65,3.4,5,1.65,3.3,4.9,1.67,3.25,4.5,1.65,3.2,5.2,1.7,3.3,5,1.67,3.4,5.5,1.62,3.3,5.5,1.62,3.3,5.4,26,1.75,1.68,3.5,3.27,5.5,5.14,15,2.25,2.18,1.65,1.61,15,-0.75,1.98,1.93,1.96,1.92,0,0,0,0,1000,1000,2.39,3.71,3.20
F2,05/08/11,Boulogne,Angers,3,3,D,1,2,A,2.25,3,3.5,2.2,2.95,3.25,2.2,3,3.25,2.1,2.9,3.4,2,3,3.4,2.1,3,3.3,2.1,3.1,3.4,2.2,3,3.5,2.3,3.1,3.4,2.2,2.88,3.2,29,2.39,2.24,3.15,2.98,3.61,3.33,15,2.5,2.35,1.57,1.2,16,-0.25,2.04,1.99,1.93,1.88,1,0,1,1,1000,930,2.31,3.77,3.31
F2,05/08/11,Chateauroux,Sedan,0,1,A,0,1,A,3.4,3.1,2.25,3.2,2.9,2.25,3.1,3,2.25,2.9,2.9,2.4,2.75,3,2.38,3,2.9,2.3,2.88,3.1,2.38,3.2,3,2.4,3.1,3.13,2.4,2.88,3,2.3,34,3.2,3.04,3.17,2.99,2.6,2.38,20,2.5,2.39,1.56,1.51,17,0,2.15,2.1,1.81,1.75,1,3,1,1,1000,1050,2.61,3.80,2.82
F2,05/08/11,Clermont,Guingamp,0,1,A,0,0,D,2.2,3.1,3.5,2.1,3.1,3.3,2.1,3.1,3.3,2.1,2.9,3.4,1.91,3,3.75,2.1,3,3.3,2.1,3.1,3.4,2.1,3.2,3.5,2.25,3.13,3.4,2.1,3,3.3,34,2.33,2.18,3.25,3.06,3.61,3.36,24,2.25,2.19,1.7,1.63,17,-0.25,1.98,1.93,1.96,1.92,3,1,1,1,1070,1000,2.28,3.81,3.33
F2,05/08/11,Istres,Lens,2,1,H,0,0,D,2.88,3,2.6,3,2.9,2.35,2.75,3,2.5,2.8,2.9,2.5,2.6,2.8,2.6,2.62,3,2.5,2.75,2.9,2.6,3,3,2.5,2.75,3.1,2.75,2.8,3,2.4,34,2.92,2.71,3.16,2.97,2.8,2.63,23,2.41,2.24,1.62,1.57,17,0,1.98,1.92,1.98,1.91,0,0,1,1,950,930,2.39,3.71,3.20
F2,05/08/11,Le Havre,Laval,1,1,D,1,0,H,1.91,3.2,4.33,1.83,3.2,4.1,1.95,3.1,3.75,1.9,3,4,1.8,3,4.33,1.85,3.1,4,1.83,3.25,4,1.87,3.2,4.5,1.85,3.4,4.5,1.91,3.1,3.8,34,1.95,1.86,3.49,3.19,5,4.29,22,2.39,2.25,1.65,1.59,17,-0.5,1.93,1.89,2.02,1.97,3,0,1,1,1070,930,2.22,3.99,3.35
F2,05/08/11,Le Mans,Tours,0,1,A,0,0,D,1.91,3.25,4.33,1.7,3.3,4.75,1.9,3.1,4,1.75,3.1,4.5,1.8,3.2,4,1.75,3.25,4.33,1.8,3.2,4.33,1.73,3.4,5,1.95,3.2,4.6,1.73,3.4,4.2,33,1.94,1.87,3.34,3.19,4.91,4.26,24,2.32,2.15,1.73,1.64,17,-0.5,1.93,1.9,2,1.96,0,3,1,1,950,1050,2.66,3.85,2.75
F2,05/08/11,Nantes,Bastia,0,2,A,0,0,D,2.63,3,2.88,2.3,2.85,3.2,2.4,3,2.9,2.3,2.9,3,2,3.1,3.4,2.25,3,3,2.1,3.2,3.25,2.38,3.2,3,2.75,2.88,2.88,2.38,3,2.8,34,2.87,2.61,3.05,2.92,3.01,2.8,25,2.43,2.21,1.7,1.61,17,0,1.96,1.9,1.98,1.93,0,3,1,1,950,1050,2.87,4.14,2.44
F2,05/08/11,Reims,Amiens,1,0,H,0,0,D,2,3.2,4,1.91,3.1,3.9,1.95,3.1,3.75,1.9,3,4,1.83,3.2,3.75,1.9,3.1,3.8,1.91,3.25,3.75,1.91,3.2,4.2,2.05,3.25,4,1.91,3.1,3.8,34,2.05,1.96,3.32,3.13,4.59,3.96,22,2.38,2.23,1.68,1.6,17,-0.5,2.04,1.98,1.93,1.87,3,1,1,1,1070,1000,2.24,3.92,3.35
F2,06/08/11,Troyes,Monaco,1,1,D,0,1,A,2.7,3,2.8,2.7,2.9,2.6,2.65,3,2.55,2.8,2.8,2.6,2.6,3,2.5,2.65,2.9,2.55,2.62,3,2.62,2.62,3,2.75,2.6,2.88,2.63,2.5,3,2.62,31,2.8,2.64,3.16,2.98,2.85,2.66,19,2.3,2.27,1.62,1.56,15,0,1.95,1.89,2.02,1.94,1,1,1,1,1000,1000,2.39,3.71,3.20
F2,08/08/11,Metz,Arles,0,0,D,0,0,D,1.91,3.25,4.33,1.88,3,4.25,1.95,3.1,3.75,1.9,3,4,1.91,3,3.75,1.83,3.15,4,2,3.2,3.5,1.95,3.2,4,1.85,3,4.2,1.83,3.2,4,26,1.95,1.88,3.35,3.14,4.6,4.12,16,2.42,2.35,1.57,1.53,14,-0.5,1.94,1.89,2.02,1.97,0,3,1,1,950,1050,2.66,3.85,2.75
F2,12/08/11,Amiens,Le Havre,0,1,A,0,0,D,2.1,3.1,3.75,2.1,3,3.5,2.2,3,3.2,2.3,2.8,3.1,2.1,3,3.2,2.05,2.95,3.5,2.15,3,3.4,2.25,3.2,3.2,2.1,3,3.6,2.1,2.9,3.5,36,2.25,2.13,3.2,3.02,3.87,3.53,21,2.45,2.36,1.57,1.53,18,-0.25,1.9,1.85,2.05,2,1,4,2,2,950,1070,2.76,3.97,2.60
F2,12/08/11,Angers,Istres,3,1,H,0,1,A,1.73,3.25,5.5,1.7,3.25,5,1.7,3.15,5,1.85,3,4.2,1.8,3.2,4,1.73,3.1,4.75,1.73,3.2,5,1.67,3.3,6,1.7,3.2,5.5,1.73,3.2,4.5,36,1.81,1.73,3.4,3.22,6.12,5.15,23,2.42,2.29,1.65,1.57,18,-0.75,2.02,1.97,1.92,1.88,1,3,2,2,930,996,2.46,3.70,3.09
F2,12/08/11,Arles,Nantes,0,0,D,0,0,D,2,3,4.33,1.85,3.1,4.2,2,3,4,1.85,3,4.2,1.91,3,3.75,1.95,3,3.75,1.83,3.1,4.33,1.95,3.2,4,2,3,4.2,2,2.9,3.75,36,2.11,1.98,3.2,3.03,4.49,4.03,20,2.55,2.46,1.52,1.48,19,-0.5,2.11,2.04,1.86,1.82,4,0,2,2,1050,884,2.06,5.81,2.92
F2,12/08/11,Bastia,Le Mans,1,0,H,0,0,D,1.73,3.3,5.5,1.75,3.2,4.6,1.75,3.4,4.5,1.9,3,4,1.8,3.2,4,1.75,3.25,4.5,1.67,3.25,5.5,1.8,3.3,4.75,1.73,3.25,5.4,1.67,3.4,4.5,36,1.85,1.74,3.55,3.31,6.1,4.84,23,2.4,2.31,1.62,1.56,18,-0.75,2,1.95,1.99,1.91,6,0,2,2,1116,884,2.03,8.05,2.62
F2,12/08/11,Guingamp,Metz,0,1,A,0,0,D,1.75,3.3,5,1.85,3.1,4.15,1.9,3.1,4,2,3,3.6,1.91,3,3.75,1.75,3.2,4.2,1.83,3.1,4.5,2,3.2,3.9,1.8,3,4.6,1.91,3.1,3.8,37,2.01,1.86,3.48,3.16,5.08,4.37,23,2.4,2.34,1.62,1.55,19,-0.5,1.92,1.84,2.09,2.01,4,1,2,2,1075,950,2.20,4.08,3.34
F2,12/08/11,Laval,Boulogne,2,2,D,1,2,A,2,3.1,4,2.05,3,3.6,2.1,3,3.4,2.2,3,3.1,2.1,3,3.2,2.05,3,3.5,2.05,3.1,3.6,2.1,3,3.75,2,3.1,3.8,2,3,3.6,35,2.16,2.05,3.26,3.04,4.25,3.74,20,2.4,2.27,1.6,1.57,17,-0.5,2.1,2.04,1.85,1.81,1,2,2,2,930,1000,2.53,3.73,2.96
F2,12/08/11,Sedan,Clermont,1,2,A,0,0,D,1.67,3.3,6,1.65,3.3,5.25,1.67,3.4,4.75,1.7,3.2,4.7,1.67,3.3,4.5,1.65,3.25,5,1.67,3.4,5,1.62,3.5,6,1.62,3.4,6,1.62,3.6,4.75,37,1.78,1.68,3.6,3.35,6,5.26,25,2.25,2.16,1.74,1.62,18,-0.75,2,1.95,2,1.91,6,3,2,2,1120,995,2.18,4.18,3.32
F2,12/08/11,Tours,Chateauroux,1,2,A,1,1,D,1.83,3.25,4.75,1.78,3.1,4.6,1.8,3.2,4.25,1.9,3,4,1.8,3.2,4,1.73,3.2,4.5,1.8,3.2,4.33,1.8,3.25,4.75,1.75,3.12,4.75,1.75,3.25,4.33,37,1.91,1.81,3.4,3.22,5,4.5,25,2.39,2.23,1.67,1.59,18,-0.5,1.91,1.85,2.1,2.01,6,1,2,2,1116,930,2.11,4.75,3.16
F2,13/08/11,Lens,Troyes,2,1,H,0,0,D,1.8,3.2,5,1.8,3.1,4.5,1.8,3.1,4.5,1.85,3.1,4,1.73,3.2,4.33,1.83,3.2,4,1.8,3.2,4.33,1.8,3.2,5,1.8,3,4.6,1.8,3.1,4.33,34,1.88,1.8,3.35,3.13,5.3,4.66,20,2.77,2.48,1.55,1.48,17,-0.5,1.9,1.84,2.1,2.01,0,2,2,2,884,1000,2.76,3.97,2.60
F2,15/08/11,Monaco,Reims,1,2,A,0,1,A,1.85,3.2,4.75,1.83,3.1,4.33,1.85,3,4.33,1.75,3.1,4.5,1.73,3.2,4.33,1.83,3.2,4,1.85,3.1,4.5,1.83,3.2,4.75,1.83,3,4.5,1.83,3.1,4.2,30,1.94,1.84,3.3,3.12,4.95,4.41,17,2.43,2.34,1.6,1.53,17,-0.5,1.94,1.89,2.02,1.96,2,6,2,2,1000,1120,2.93,4.25,2.36
F2,19/08/11,Boulogne,Tours,0,0,D,0,0,D,2.25,3.2,3.25,2.17,3.05,3.4,2.2,3.1,3.25,2.1,3,3.3,2.1,3,3.2,2.2,3,3.1,2.1,3.1,3.4,2.1,3.1,3.6,2.15,3,3.25,2.1,3,3.3,33,2.31,2.19,3.31,3.08,3.63,3.29,24,2.25,2.11,1.77,1.68,17,-0.25,1.99,1.92,2,1.93,3,6,3,3,1000,1038,2.66,3.85,2.75
