Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,HPTS,APTS,HPL,APL,HRATEFORM,ARATEFORM,FOH,FOD,FOA
F2,01/08/14,Ajaccio GFCO,Valenciennes,2,0,H,1,0,H,2.5,3,3,2.6,3,2.75,2.4,3,2.8,2.37,2.8,2.8,2.57,3.07,3.22,2.38,3,2.9,2.5,3,2.88,2.6,3,3.1,45,2.6,2.45,3.2,2.97,3.55,3.03,38,2.5,2.3,1.66,1.58,23,0,1.77,1.69,2.41,2.16,2.21,3.15,3.91,0,0,0,0,1000,1000,2.39,3.71,3.20
F2,01/08/14,Arles,Ajaccio,0,0,D,0,0,D,2.25,3,3.5,2.35,3,3.1,2.2,2.8,3.3,2.25,2.7,3.1,2.46,3.02,3.48,2.3,3,3.1,2.25,3,3.25,2.4,3,3.4,52,2.57,2.38,3.1,2.95,3.55,3.16,41,2.7,2.47,1.58,1.51,23,-0.25,2.16,2.07,1.83,1.78,2.34,3.04,3.71,0,0,0,0,1000,1000,2.39,3.71,3.20
F2,01/08/14,Auxerre,Le Havre,2,0,H,1,0,H,2.2,3.1,3.5,2.25,3,3.3,2,3.1,3.5,2.2,2.75,3.1,2.38,3.14,3.48,2,3.2,3.6,2.25,3.13,3.2,2.38,3.1,3.4,52,2.44,2.26,3.2,3.04,3.7,3.29,45,2.38,2.26,1.68,1.61,25,-0.25,2.05,1.99,1.9,1.85,2.77,2.99,3.02,0,0,0,0,1000,1000,2.39,3.71,3.20
F2,01/08/14,Chateauroux,Troyes,0,1,A,0,1,A,3.3,3.25,2.2,3.3,3,2.25,2.9,2.9,2.4,3.3,2.87,2.1,3.76,3.17,2.25,3.2,3,2.25,3,3,2.4,3.6,3.12,2.2,46,3.95,3.49,3.25,3.09,2.4,2.15,40,2.35,2.25,1.67,1.61,20,0.25,2.09,2.04,1.92,1.82,3.81,3.24,2.21,0,0,0,0,1000,1000,2.39,3.71,3.20
F2,01/08/14,Laval,Niort,1,1,D,0,0,D,2.38,3,3.2,2.4,3.1,2.95,2.3,3,2.9,2.3,2.87,2.87,2.53,3.07,3.28,2.25,3.2,3,2.3,3,3.13,2.5,3,3.25,52,2.6,2.38,3.2,2.99,3.3,3.1,43,2.5,2.31,1.68,1.57,23,-0.25,2.13,2.06,1.86,1.8,2.94,2.96,2.88,0,0,0,0,1000,1000,2.39,3.71,3.20
F2,01/08/14,Nancy,Dijon,1,1,D,0,0,D,1.91,3.2,4.33,1.85,3.2,4.33,1.85,3.1,4,1.85,2.9,4,2.04,3.31,4.31,1.8,3.2,4.33,1.83,3.2,4.33,2,3.2,4.4,52,2.04,1.93,3.33,3.16,4.6,4.12,49,2.28,2.14,1.76,1.68,23,-0.5,2.04,1.99,1.92,1.85,2.33,3.17,3.57,0,0,0,0,1000,1000,2.39,3.71,3.20
F2,01/08/14,Nimes,Angers,3,2,H,3,1,H,2.1,3.25,3.5,2.15,3.1,3.4,2,2.9,3.7,2.05,2.9,3.3,2.17,3.24,3.9,2.1,3.25,3.25,2.1,3.13,3.6,2.2,3.2,3.7,52,2.24,2.12,3.27,3.11,3.9,3.54,47,2.26,2.14,1.75,1.67,21,-0.25,1.89,1.84,2.08,2.01,2.19,3.34,3.74,0,0,0,0,1000,1000,2.39,3.71,3.20
F2,01/08/14,Tours,Creteil,4,2,H,2,1,H,2.05,3.1,4,2.05,3.1,3.7,2,3,3.6,1.95,2.9,3.5,2.13,3.33,3.91,1.95,3.1,3.8,2,3.2,3.75,2.15,3.1,3.9,51,2.16,2.04,3.33,3.14,4.2,3.72,49,2.06,1.97,1.92,1.8,21,-0.25,1.83,1.79,2.12,2.06,2.33,3.21,3.5,0,0,0,0,1000,1000,2.39,3.71,3.20
F2,02/08/14,Sochaux,Orleans,0,1,A,0,0,D,1.85,3.4,4.33,1.83,3.4,4.25,1.8,3.1,4.2,1.75,3.1,4,1.91,3.41,4.74,1.73,3.4,4.5,1.83,3.3,4.33,1.87,3.4,4.75,48,1.91,1.82,3.6,3.31,4.9,4.38,44,2.13,2.03,1.81,1.75,20,-0.5,1.91,1.85,2.06,1.99,2.28,3.25,3.57,0,0,0,0,1000,1000,2.39,3.71,3.20
F2,04/08/14,Brest,Clermont,2,1,H,0,1,A,2,3,4.33,1.85,3,4.75,2,3,3.6,1.9,2.85,3.8,2.02,3.06,4.79,1.91,3,4.2,1.95,3.2,4,2,3.1,4.5,46,2.03,1.95,3.3,3.06,4.8,4.14,34,2.72,2.56,1.55,1.48,20,-0.5,2.05,1.98,1.91,1.85,2.05,3.14,4.58,0,0,0,0,1000,1000,2.39,3.71,3.20
