YEAR,GDM61-12,GDM6X-12,GDM62-12,GDM6T-12,GDM61-11,GDM6X-11,GDM62-11,GDM6T-11,GDM61-10,GDM6X-10,GDM62-10,GDM6T-10,GDM61-9,GDM6X-9,GDM62-9,GDM6T-9,GDM61-8,GDM6X-8,GDM62-8,GDM6T-8,GDM61-7,GDM6X-7,GDM62-7,GDM6T-7,GDM61-6,GDM6X-6,GDM62-6,GDM6T-6,GDM61-5,GDM6X-5,GDM62-5,GDM6T-5,GDM61-4,GDM6X-4,GDM62-4,GDM6T-4,GDM61-3,GDM6X-3,GDM62-3,GDM6T-3,GDM61-2,GDM6X-2,GDM62-2,GDM6T-2,GDM61-1,GDM6X-1,GDM62-1,GDM6T-1,GDM610,GDM6X0,GDM620,GDM6T0,GDM611,GDM6X1,GDM621,GDM6T1,GDM612,GDM6X2,GDM622,GDM6T2,GDM613,GDM6X3,GDM623,GDM6T3,GDM614,GDM6X4,GDM624,GDM6T4,GDM615,GDM6X5,GDM625,GDM6T5,GDM616,GDM6X6,GDM626,GDM6T6,GDM617,GDM6X7,GDM627,GDM6T7,GDM618,GDM6X8,GDM628,GDM6T8,GDM619,GDM6X9,GDM629,GDM6T9,GDM6110,GDM6X10,GDM6210,GDM6T10,GDM6111,GDM6X11,GDM6211,GDM6T11,GDM6112,GDM6X12,GDM6212,GDM6T12
2018,1,4,3,8,1,2,1,4,4,9,5,18,3,2,1,6,2,7,5,14,6,6,3,15,9,4,7,20,10,10,10,30,11,6,6,23,10,8,8,26,11,6,10,27,15,12,7,34,8,10,8,26,16,7,9,32,15,3,10,28,10,7,6,23,13,4,7,24,11,7,10,28,1,5,7,13,9,2,3,14,6,0,7,13,9,1,1,11,7,1,1,9,5,0,0,5,3,2,3,8
2017,4,2,0,6,4,3,1,8,4,3,2,9,6,8,4,18,3,9,4,16,5,6,3,14,6,4,7,17,4,15,2,21,8,6,7,21,9,7,9,25,5,9,7,21,14,6,6,26,11,10,7,28,12,12,8,32,17,7,9,33,13,7,5,25,21,6,10,37,8,5,5,18,7,3,7,17,8,4,0,12,6,4,6,16,7,1,1,9,4,1,4,9,3,1,1,5,0,3,4,7
2016,1,2,2,5,2,5,0,7,5,5,2,12,3,2,8,13,3,5,2,10,5,3,2,10,7,9,6,22,11,7,6,24,16,9,6,31,9,6,7,22,20,11,9,40,8,15,8,31,18,9,6,33,18,9,4,31,24,14,7,45,12,3,6,21,10,5,8,23,14,4,3,21,8,2,3,13,7,4,3,14,4,1,2,7,3,1,5,9,4,1,1,6,4,2,2,8,4,1,1,6
2015,1,1,3,5,1,2,3,6,3,4,2,9,3,5,5,13,1,7,2,10,8,6,11,25,3,12,6,21,5,9,4,18,13,9,15,37,11,5,6,22,12,9,7,28,14,7,11,32,11,5,7,23,12,8,10,30,15,7,6,28,12,6,11,29,7,3,9,19,11,7,5,23,12,3,3,18,13,3,7,23,9,4,2,15,6,1,3,10,3,4,2,9,1,0,2,3,2,1,1,4
2014,2,5,2,9,2,2,3,7,1,7,1,9,4,5,4,13,2,2,7,11,9,3,2,14,7,11,9,27,8,11,6,25,12,9,11,32,9,5,10,24,8,5,3,16,8,10,11,29,10,7,3,20,14,5,11,30,6,5,8,19,10,10,2,22,6,10,3,19,10,2,4,16,15,3,3,21,9,2,7,18,9,5,3,17,8,2,3,13,5,2,6,13,6,2,3,11,1,0,2,3
2013,0,7,0,7,5,1,4,10,5,3,2,10,3,9,7,19,4,4,3,11,7,7,6,20,8,11,4,23,7,7,6,20,7,10,8,25,4,3,7,14,10,4,7,21,15,6,10,31,12,7,4,23,17,6,7,30,20,8,8,36,4,9,4,17,15,5,7,27,10,6,3,19,7,7,8,22,6,3,7,16,8,2,2,12,6,2,4,12,5,3,3,11,2,4,3,9,3,1,2,6
2012,1,1,4,6,1,4,2,7,4,1,1,6,2,4,3,9,6,3,5,14,9,10,2,21,7,6,9,22,12,6,13,31,9,8,9,26,8,9,5,22,14,8,7,29,13,12,10,35,8,12,7,27,16,8,6,30,10,6,10,26,10,7,4,21,15,6,6,27,9,8,6,23,14,5,5,24,8,5,6,19,4,2,1,7,5,2,2,9,6,3,1,10,1,1,0,2,1,3,2,6
2011,1,4,2,7,3,1,0,4,3,5,4,12,6,5,6,17,4,4,2,10,9,6,3,18,9,7,9,25,10,11,1,22,11,13,6,30,10,8,8,26,12,4,15,31,17,8,8,33,6,6,7,19,16,4,9,29,8,7,7,22,13,7,6,26,9,9,2,20,12,5,4,21,15,6,7,28,12,3,5,20,3,1,3,7,4,3,1,8,4,4,0,8,4,0,5,9,2,0,2,4
2010,1,3,1,5,2,5,1,8,6,3,3,12,4,4,0,8,4,5,7,16,6,4,7,17,5,8,3,16,5,8,6,19,6,7,9,22,16,5,7,28,9,7,13,29,13,14,12,39,11,8,6,25,11,8,6,25,16,8,9,33,11,4,8,23,16,4,5,25,8,7,4,19,8,4,5,17,12,3,3,18,4,1,1,6,7,7,4,18,8,1,3,12,2,0,1,3,2,1,0,3
SUM,12,29,17,58,21,25,15,61,35,40,22,97,34,44,38,116,29,46,37,112,64,51,39,154,61,72,60,193,72,84,54,210,93,77,77,247,86,56,67,209,101,63,78,242,117,90,83,290,95,74,55,224,132,67,70,269,131,65,74,270,95,60,52,207,112,52,57,221,93,51,44,188,87,38,48,173,84,29,41,154,53,20,27,100,55,20,24,99,46,20,21,87,28,10,17,55,18,12,17,47
