YEAR,GDM61-15,GDM6X-15,GDM62-15,GDM6T-15,GDM61-14,GDM6X-14,GDM62-14,GDM6T-14,GDM61-13,GDM6X-13,GDM62-13,GDM6T-13,GDM61-12,GDM6X-12,GDM62-12,GDM6T-12,GDM61-11,GDM6X-11,GDM62-11,GDM6T-11,GDM61-10,GDM6X-10,GDM62-10,GDM6T-10,GDM61-9,GDM6X-9,GDM62-9,GDM6T-9,GDM61-8,GDM6X-8,GDM62-8,GDM6T-8,GDM61-7,GDM6X-7,GDM62-7,GDM6T-7,GDM61-6,GDM6X-6,GDM62-6,GDM6T-6,GDM61-5,GDM6X-5,GDM62-5,GDM6T-5,GDM61-4,GDM6X-4,GDM62-4,GDM6T-4,GDM61-3,GDM6X-3,GDM62-3,GDM6T-3,GDM61-2,GDM6X-2,GDM62-2,GDM6T-2,GDM61-1,GDM6X-1,GDM62-1,GDM6T-1,GDM610,GDM6X0,GDM620,GDM6T0,GDM611,GDM6X1,GDM621,GDM6T1,GDM612,GDM6X2,GDM622,GDM6T2,GDM613,GDM6X3,GDM623,GDM6T3,GDM614,GDM6X4,GDM624,GDM6T4,GDM615,GDM6X5,GDM625,GDM6T5,GDM616,GDM6X6,GDM626,GDM6T6,GDM617,GDM6X7,GDM627,GDM6T7,GDM618,GDM6X8,GDM628,GDM6T8,GDM619,GDM6X9,GDM629,GDM6T9,GDM6110,GDM6X10,GDM6210,GDM6T10,GDM6111,GDM6X11,GDM6211,GDM6T11,GDM6112,GDM6X12,GDM6212,GDM6T12,GDM6113,GDM6X13,GDM6213,GDM6T13,GDM6114,GDM6X14,GDM6214,GDM6T14,GDM6115,GDM6X15,GDM6215,GDM6T15
2018,1,1,0,2,0,3,1,4,2,7,1,10,1,4,1,6,2,5,3,10,2,3,5,10,2,3,2,7,0,7,1,8,4,2,1,7,8,2,2,12,2,3,2,7,5,4,0,9,6,5,2,13,7,6,5,18,5,7,0,12,7,7,2,16,7,6,3,16,10,1,2,13,9,3,3,15,8,4,3,15,6,2,1,9,11,2,4,17,4,0,5,9,6,1,3,10,3,3,0,6,8,5,2,15,7,1,2,10,2,0,0,2,5,0,0,5,0,0,0,0,2,0,1,3
2017,0,3,1,4,1,3,2,6,1,3,3,7,2,7,2,11,2,6,3,11,3,3,2,8,2,2,3,7,1,4,4,9,4,2,2,8,3,3,3,9,4,5,3,12,7,3,3,13,5,6,3,14,5,3,1,9,9,4,5,18,3,2,6,11,5,4,4,13,5,3,1,9,7,0,10,17,10,3,2,15,4,2,5,11,9,4,2,15,5,2,2,9,4,0,0,4,6,1,3,10,4,0,1,5,5,0,3,8,8,1,1,10,2,2,1,5,3,0,1,4,1,0,1,2
2016,0,3,1,4,0,1,3,4,0,2,1,3,2,3,1,6,1,4,1,6,2,4,2,8,2,6,2,10,6,4,4,14,10,9,3,22,2,4,1,7,5,4,4,13,2,3,5,10,4,5,5,14,5,3,2,10,9,2,6,17,10,3,2,15,10,4,3,17,10,2,2,14,8,2,4,14,7,4,3,14,11,1,2,14,3,2,2,7,12,1,3,16,4,1,2,7,7,1,0,8,5,0,1,6,4,0,1,5,2,2,1,5,3,1,1,5,4,0,0,4,2,0,1,3
2015,1,1,1,3,0,1,3,4,1,3,0,4,0,3,3,6,1,3,3,7,3,1,2,6,5,3,5,13,0,3,3,6,2,3,4,9,3,6,3,12,5,8,3,16,5,5,6,16,7,3,4,14,8,4,3,15,5,7,1,13,11,7,5,23,7,2,6,15,8,3,1,12,11,6,7,24,4,5,3,12,5,3,3,11,7,1,4,12,10,3,5,18,8,3,1,12,1,0,4,5,4,1,2,7,4,0,0,4,5,0,2,7,1,0,0,1,2,0,0,2,1,0,0,1
2014,0,4,0,4,0,2,1,3,0,1,1,2,1,0,1,2,1,2,0,3,2,3,2,7,1,3,4,8,4,11,1,16,2,2,5,9,5,6,4,15,2,5,4,11,9,1,3,13,9,4,2,15,12,5,3,20,9,4,5,18,10,7,2,19,7,8,1,16,13,3,4,20,11,5,5,21,7,5,5,17,10,3,4,17,6,1,3,10,8,1,2,11,3,2,1,6,4,0,3,7,2,2,1,5,2,1,2,5,4,0,0,4,1,0,0,1,4,1,0,5,2,1,0,3
2013,1,2,1,4,3,0,1,4,0,4,1,5,1,2,3,6,2,2,0,4,1,3,1,5,4,2,2,8,4,2,5,11,5,7,6,18,1,5,2,8,4,7,3,14,3,6,3,12,5,2,3,10,9,5,5,19,5,7,3,15,4,4,2,10,15,4,3,22,9,5,2,16,6,4,4,14,10,4,5,19,5,2,1,8,5,4,1,10,3,1,3,7,10,4,0,14,3,1,0,4,7,1,0,8,6,0,0,6,8,0,0,8,3,1,0,4,5,0,2,7,2,0,0,2
2012,1,2,0,3,0,2,0,2,0,3,1,4,3,3,6,12,2,3,1,6,1,5,3,9,0,5,4,9,4,2,1,7,0,2,3,5,6,9,4,19,5,4,2,11,2,1,3,6,9,8,4,21,8,8,9,25,11,3,6,20,9,3,9,21,8,2,3,13,6,5,7,18,5,4,7,16,7,4,3,14,14,1,2,17,5,2,2,9,4,1,1,6,10,4,0,14,5,1,1,7,1,0,0,1,4,1,1,6,4,0,1,5,2,0,0,2,1,1,2,4,1,0,0,1
2011,1,2,0,3,2,1,0,3,0,2,0,2,0,2,2,4,2,7,1,10,1,4,1,6,3,5,4,12,3,0,2,5,6,2,3,11,3,2,1,6,6,5,1,12,9,4,5,18,7,3,6,16,8,10,3,21,6,6,4,16,3,11,4,18,10,8,6,24,14,3,8,25,8,2,3,13,1,2,4,7,5,4,1,10,6,2,4,12,2,2,2,6,4,0,0,4,3,1,2,6,6,3,3,12,5,0,1,6,4,0,1,5,1,0,1,2,5,0,0,5,6,0,0,6
2010,1,1,1,3,1,3,0,4,0,0,0,0,1,1,2,4,2,1,0,3,3,6,4,13,6,3,1,10,2,3,4,9,4,1,4,9,6,4,3,13,5,0,5,10,9,5,2,16,4,3,4,11,14,6,12,32,10,7,4,21,7,7,9,23,11,3,10,24,11,6,1,18,4,2,4,10,9,2,3,14,3,5,4,12,8,2,1,11,8,0,3,11,4,1,2,7,5,1,3,9,5,1,1,7,6,0,0,6,2,1,0,3,0,0,0,0,2,1,0,3,2,0,1,3
SUM,6,19,5,30,7,16,11,34,4,25,8,37,11,25,21,57,15,33,12,60,18,32,22,72,25,32,27,84,24,36,25,85,37,30,31,98,37,41,23,101,38,41,27,106,51,32,30,113,56,39,33,128,76,50,43,169,69,47,34,150,64,51,41,156,80,41,39,160,86,31,28,145,69,28,47,144,63,33,31,127,63,23,23,109,60,20,23,103,56,11,26,93,53,16,9,78,37,9,16,62,42,13,11,66,43,3,10,56,39,4,6,49,18,4,3,25,26,3,5,34,19,1,4,24
