--------------
C:\Users\mcmar\source\repos\betting\Betting\bin\Release>Betting.exe -u -e --league=Championship -y=2018 -r=9 > ..\..\..\OutputData\dataII1Championship.txt
--------------


 R2 values  1 0.77, X 0.75, 2 0.25 metric 2500 

 R2 values  1 0.00, X 0.00, 2 0.00 metric 1 

 R2 values  1 0.26, X 0.05, 2 0.16 metric 9997 

 R2 values  1 0.39, X 0.08, 2 0.31 metric 4999 

 R2 values  1 0.45, X 0.17, 2 0.29 metric 7498 

 R2 values  1 0.72, X 0.70, 2 0.11 metric 5000 

 R2 values  1 0.83, X 0.84, 2 0.23 metric 2501 

 R2 values  1 0.00, X 0.00, 2 0.00 metric 2 

 R2 values  1 0.44, X 0.19, 2 0.23 metric 7499 

 R2 values  1 0.30, X 0.13, 2 0.32 metric 9998 

 R2 values  1 0.89, X 0.78, 2 0.04 metric 5001 

 R2 values  1 0.73, X 0.63, 2 0.27 metric 7500 

 R2 values  1 0.71, X 0.72, 2 0.22 metric 2502 

 R2 values  1 0.00, X 0.00, 2 0.00 metric 3 

 R2 values  1 0.42, X 0.23, 2 0.06 metric 9999 

 R2 values  1 0.86, X 0.83, 2 0.06 metric 5002 

 R2 values  1 0.53, X 0.47, 2 0.25 metric 7501 

 R2 values  1 0.77, X 0.76, 2 0.29 metric 4 

 R2 values  1 0.92, X 0.87, 2 0.07 metric 8 

 R2 values  1 0.77, X 0.71, 2 0.16 metric 2503 

 R2 values  1 0.74, X 0.78, 2 0.17 metric 5003 

 R2 values  1 0.77, X 0.78, 2 0.09 metric 9 

 R2 values  1 0.52, X 0.71, 2 0.09 metric 5 

 R2 values  1 0.75, X 0.68, 2 0.31 metric 7502 

 R2 values  1 0.00, X 0.00, 2 0.00 metric 10 

 R2 values  1 0.77, X 0.78, 2 0.21 metric 5004 

 R2 values  1 0.60, X 0.42, 2 0.20 metric 2504 

 R2 values  1 0.77, X 0.82, 2 0.08 metric 6 

 R2 values  1 0.81, X 0.87, 2 0.21 metric 5005 

 R2 values  1 0.69, X 0.45, 2 0.37 metric 7503 

 R2 values  1 0.00, X 0.00, 2 0.00 metric 11 

 R2 values  1 0.77, X 0.89, 2 0.11 metric 7 

 R2 values  1 0.62, X 0.39, 2 0.40 metric 2505 

 R2 values  1 0.72, X 0.73, 2 0.13 metric 5006 

 R2 values  1 0.00, X 0.00, 2 0.00 metric 12 

 R2 values  1 0.63, X 0.53, 2 0.13 metric 7504 

 R2 values  1 0.00, X 0.00, 2 0.00 metric 20 

 R2 values  1 0.54, X 0.36, 2 0.30 metric 2506 

 R2 values  1 0.61, X 0.65, 2 0.16 metric 5007 

 R2 values  1 0.77, X 0.53, 2 0.31 metric 13 

 R2 values  1 0.65, X 0.39, 2 0.30 metric 7505 

 R2 values  1 0.75, X 0.75, 2 0.16 metric 5008 

 R2 values  1 0.00, X 0.00, 2 0.00 metric 21 

 R2 values  1 0.50, X 0.30, 2 0.45 metric 2507 

 R2 values  1 0.63, X 0.76, 2 0.14 metric 14 

 R2 values  1 0.60, X 0.43, 2 0.25 metric 7506 

 R2 values  1 0.78, X 0.81, 2 0.18 metric 5009 

 R2 values  1 0.66, X 0.65, 2 0.34 metric 22 

 R2 values  1 0.75, X 0.53, 2 0.32 metric 2508 

 R2 values  1 0.80, X 0.81, 2 0.27 metric 15 

 R2 values  1 0.72, X 0.41, 2 0.21 metric 5010 

 R2 values  1 0.58, X 0.53, 2 0.17 metric 7507 

 R2 values  1 0.64, X 0.81, 2 0.01 metric 23 

 R2 values  1 0.73, X 0.86, 2 0.02 metric 16 

 R2 values  1 0.72, X 0.50, 2 0.30 metric 2509 

 R2 values  1 0.70, X 0.58, 2 0.25 metric 5011 

 R2 values  1 0.49, X 0.34, 2 0.16 metric 7508 

 R2 values  1 0.84, X 0.92, 2 0.00 metric 24 

 R2 values  1 0.80, X 0.73, 2 0.04 metric 17 

